% CORRECTED ACCELEROGRAM   24279-S2499-94021.02       CHAN  3: 360 DEG     FROM   
% 3000 POINTS OF ACCEL DATA EQUALLY SPACED AT  .020 SEC.  (UNITS: CM/SEC/SEC)
      .257     -.644    -1.941    -1.902     -.561      .711      .919     1.493
     2.504    -1.622    -6.294    -4.908    -4.176    -6.419    -9.788    -4.763
     7.330    19.106    25.132    16.786     -.439   -14.661   -12.107    -2.327
     1.406     3.412     5.106     6.896     6.636    15.773    21.282    10.153
   -14.787   -21.948   -30.097   -16.381    31.572    42.018    14.470    -9.572
   -16.404   -18.085   -10.658     5.970    17.642    12.022     9.638    22.635
    23.343    14.255     2.044   -12.136   -32.383   -23.094    10.612    16.291
    13.307     6.952     7.144     2.955     6.958    18.148    12.725    -6.271
   -21.088    -8.205    11.380    25.121    35.675    35.730    24.298     2.532
    -3.534    -9.666    -8.106    -4.431    -5.832    -6.698      .687     3.340
    13.276    21.180     4.325   -11.166   -17.412    22.077    57.943    63.659
    34.740     7.845   -10.489   -34.489   -49.210   -10.110    27.715    26.935
    23.921    10.303    14.627    10.127     9.483    15.346     9.534   -20.383
   -46.346   -21.838    29.242    59.227    46.199    33.297    11.091   -44.639
   -83.792   -55.202    -6.489    25.258    34.550    59.808    68.835    56.187
    44.277    37.711    34.332     3.709   -17.841   -45.608   -53.585   -33.165
   -13.406    -7.262    -4.847     8.503    47.456    72.320    70.809    63.153
    57.146    68.895    84.665    91.972    68.669     -.112   -30.162   -52.508
   -60.062   -60.512   -27.738    41.616    71.391   105.550    87.891    77.014
    66.545    49.685    45.569    47.973    46.957    35.114    24.273     5.458
    -7.844   -22.110   -41.059   -85.220   -66.545    14.169    71.254    87.803
    75.917    59.761    38.563    19.214    19.917    18.186     2.786    -9.097
   -11.366    -9.406    -8.161   -23.067   -75.740  -140.786  -187.163  -225.676
  -257.810  -285.837  -324.555  -378.141  -444.535  -482.883  -501.775  -457.062
  -360.159  -257.415  -170.669   -89.845   -34.001   -25.523   -53.174  -103.528
  -141.517   -91.480     7.162   101.605   169.181   127.210    19.946   -93.046
  -143.152  -162.499  -185.669  -144.387    22.098   171.977   332.281   487.510
   578.193   534.389   466.532   455.018   227.226   -40.962  -245.665  -367.315
  -417.960  -327.760  -117.674    64.652   178.597   232.994   251.129   210.228
   237.240   208.003   146.295   127.055   109.902   127.717   128.949   127.893
   133.579   164.393   204.967   235.248   251.768   228.140   231.398   179.124
    93.473    37.009   -99.441  -248.570  -384.773  -471.963  -518.079  -541.569
  -530.045  -510.898  -502.880  -490.248  -453.438  -420.925  -406.691  -379.748
  -337.628  -284.069  -214.964   -83.938   167.535   461.879   573.862   510.890
   477.694   473.484   470.550   488.638   494.311   500.247   520.273   514.590
   542.393   523.453   406.380   309.083   175.145    67.482   -23.033  -180.420
  -391.088  -506.668  -481.188  -340.430   -92.889   111.735   217.520   241.112
   174.762    60.103   -51.709  -186.502  -246.802  -245.154  -229.346  -220.053
  -257.440  -311.807  -275.441  -125.506     4.428    89.137   154.460   198.291
   210.953   150.802    51.555   -54.975  -159.029  -142.228   -31.246    92.476
   185.081   166.913    92.449    45.259   -11.276   -80.347  -125.948  -151.223
  -170.191  -183.666  -166.409  -101.082   -10.762    85.032   146.389   183.559
   200.062   192.347   176.533   152.692   114.019    74.976    -5.846  -108.578
  -120.662   -88.306   -49.521   -13.830    71.627   146.926   175.494   207.172
